dateE,latitude,longitude,depth,mag,gap,id,place
03-08-2023,9.0897,93.5963,10,4.8,89,us6000kxif,"Nicobar Islands, India region"
02-08-2023,8.4732,92.8663,51.605,4.2,115,us6000kzcf,"Nicobar Islands, India region"
02-08-2023,9.5163,94.0695,10,5.2,86,us6000kx7s,"278 km SSE of Port Blair, India"
02-08-2023,9.3458,93.9282,10,5.3,45,us6000kx7b,"287 km SSE of Port Blair, India"
01-08-2023,9.5049,93.7127,10,4.3,118,us6000kzbn,"261 km SSE of Port Blair, India"
01-08-2023,9.2693,93.9045,10,4.5,107,us6000kzbd,"293 km SSE of Port Blair, India"
30-07-2023,30.3618,94.8769,10,4.8,85,us6000kwqs,"208 km NNE of Shi Yomi, India"
30-07-2023,30.3856,94.8507,10,4.9,70,us6000kwm4,"210 km NNE of Shi Yomi, India"
28-07-2023,10.5368,93.5418,88.891,5.9,17,us6000kwam,"152 km SE of Port Blair, India"
28-07-2023,30.2874,94.7327,10,4.6,77,us6000kw25,"197 km N of Shi Yomi, India"
27-07-2023,30.4008,94.4266,10,4.4,97,us6000kxue,"207 km N of Shi Yomi, India"
27-07-2023,30.35,94.8318,10,5,63,us6000kw0u,"206 km NNE of Shi Yomi, India"
21-07-2023,25.1642,95.008,86.88,4,83,us7000khhf,"75 km SE of Phek, India"
20-07-2023,26.8685,75.8906,10,4.3,199,us7000kh99,"11 km ESE of Jaipur, India"
17-07-2023,33.1046,76.0979,10,4.2,94,us7000kgdh,"38 km ENE of Bhadarwāh, India"
16-07-2023,25.722,91.3559,10,4.3,94,us7000kg5v,"24 km NNE of Nongstoin, India"
13-07-2023,13.792,94.1092,39.377,4.5,109,us7000kh4e,"276 km NNE of Bamboo Flat, India"
12-07-2023,25.0831,95.4345,9.904,4.3,128,us7000kh27,"114 km SE of Phek, India"
10-07-2023,33.2711,75.8514,25.38,4.2,107,us7000kgk7,"9 km ESE of Kishtwār, India"
10-07-2023,33.2332,75.9099,27.461,4.9,44,us6000kr8m,"15 km SE of Kishtwār, India"
10-07-2023,13.1442,93.2891,35,4.2,269,us7000kgk5,"171 km NNE of Bamboo Flat, India"
07-07-2023,31.536,78.3517,10,4.3,123,us6000kqna,"53 km E of Sarāhan, India"
04-07-2023,26.5274,96.3583,89.642,4.6,59,us6000kpzu,"57 km NW of Sarupathar, India"
30-06-2023,26.9851,96.6035,10,4.4,132,us6000kp19,"88 km NNW of Sarupathar, India"
26-06-2023,9.3365,93.7769,10,4.6,95,us6000kq95,"281 km SSE of Port Blair, India"
26-06-2023,9.2868,93.5555,10,4.9,62,us7000kb4v,"277 km SSE of Port Blair, India"
26-06-2023,13.7408,92.7235,10,4.7,92,us7000kb4r,"225 km N of Bamboo Flat, India"
26-06-2023,8.7087,93.955,10,4.3,171,us6000kq8r,"Nicobar Islands, India region"
21-06-2023,9.1371,93.367,10,4.5,111,us6000kp4j,"287 km SSE of Port Blair, India"
17-06-2023,33.0208,75.9599,10,4.3,99,us7000k99b,"23 km ENE of Bhadarwāh, India"
